Simulated Games:,LeBron wins:,Jordan wins:,Lebron score,jordan score,LeBron 3PPGG,Jordan 3PPG,LJ Total Reb,MJ Total Reb,LeBron Blocks,Jordan Blocks,LeBron Steals,Jordan Steals
30,23,7,17.910397819596934,11.809602472996335,0.8601776846114867,0.16918050386508188,-3.1872101532256263,3.1872101532256263,0.017236991028386155,0.5780860787549675,1.0751218432849687,1.1994091480202766
31,23,8,5.086786280365549,6.007152971630461,0.3086545535708442,0.33062534566609514,-2.4983820961341427,2.4983820961341427,0.3430579838745619,0.5390162255907633,0.561578938688805,0.9020005719002493
32,24,8,7.53739892409752,-2.6971618679068445,0.04789571515066372,0.18963781361727786,-1.313155668816746,1.313155668816746,0.34933910854440575,0.2793362661630345,0.2589190159018336,0.9250371296059262
33,24,9,20.812204832883417,-0.7944335805977658,0.672576597812554,0.3366684660483442,-2.214688258046762,2.214688258046762,0.45567086466493034,0.47989273393826126,0.6650274882981417,1.53211800658379
34,25,9,4.585106382214268,5.266649891259238,0.005428353451623467,0.09200869752697774,-2.1302414015675786,2.1302414015675786,0.0806744927240529,0.37059606618655294,0.8941789111259811,1.8245978073900584
35,26,9,12.954022775133788,3.0163565278371625,0.7874837874259479,0.3605100115723539,-0.20929509682610717,0.20929509682610717,0.5274540851328705,0.46132525983854283,0.8444166331246116,1.8277342609802882
36,27,9,2.485477221496695,8.072066753372363,0.18207274967721468,0.2968667639505735,-2.173541424522268,2.173541424522268,0.47673764649840905,0.2669105156882923,0.3636698264549977,1.2359865251763507
37,28,9,2.1350126831479366,12.904234198537834,0.47591884291795106,0.23154803181671518,1.1431539030247646,-1.1431539030247646,0.35186075294547725,0.559177663752279,0.1733593017398522,0.9714648073492721
38,28,10,1.964962706521542,-0.7075351450411542,0.9441592933289746,0.15140862362991173,-1.297080458735779,1.297080458735779,0.3550361192062961,0.5057094578502828,0.918377415927643,0.7216781415575951
39,28,11,5.532323092746926,-0.0713059206407962,0.7548953180817936,0.32458518196581604,1.7370314171110208,-1.7370314171110208,0.1660159535806809,0.2547170530699824,0.2777931210828923,0.513414840164161
40,28,12,5.533045109672879,2.637534656179294,0.32360514132941853,0.2065788204854259,0.5331636975479735,-0.5331636975479735,0.4786451674998333,0.06298410540251068,0.47761660354371416,0.12348016409317747
41,28,13,20.546808132026374,0.24935564018199646,1.042801842568579,0.246580620921084,-1.1841898492667944,1.1841898492667944,0.5144604056371138,0.24643526094911897,0.22545345594338145,0.12471300613961023
42,29,13,1.339439083150351,-1.8946301472258165,0.6367412332996581,0.07853899500263573,0.9379608170367991,-0.9379608170367991,0.3930750601378429,0.4787202320543394,0.44782663188042515,0.6112767866763337
43,30,13,13.151481860876078,12.329475910476317,1.0171836428684813,0.17478791115594994,-2.725503463586545,2.725503463586545,0.23608198347253365,0.23264615618530662,0.17981963617548516,1.151450817570768
44,31,13,14.321374396411631,-5.181940723332945,0.7618247154910438,0.03712712908230728,-1.68795116593786,1.68795116593786,0.21505012270267115,0.2768840688731851,0.5182932950410475,0.3562155722906112
45,32,13,8.49158678151886,5.679252340500565,0.4466483549687451,0.10520527649244571,-1.7254846614763706,1.7254846614763706,0.2941199076732437,0.6086042301850128,0.668989153894705,0.5322464123846903
46,33,13,10.537943768374427,1.2741107653606387,0.9001951302738274,0.030294954217273122,0.8702226725654818,-0.8702226725654818,0.4602150918339706,0.36537794912943566,0.10360128983099032,1.6853679065714466
47,33,14,7.854677635403879,2.0396232281504507,1.041399588040412,0.4266567609559949,-2.550584096410869,2.550584096410869,0.11606740539245003,0.49067667366781575,0.4666074243844673,1.4062599302056533
48,33,15,9.680267093725147,1.8363448971097431,0.2086342393934462,0.2211802674023628,-2.1798099181082007,2.1798099181082007,0.35124525645054966,0.3242870111257957,0.7979160457078882,1.7874293860486006
49,33,16,12.67945719966145,2.723745041142218,0.9722042861883817,0.30025055442767223,-2.7160643997312017,2.7160643997312017,0.1294823610613922,0.28116407607971583,0.15265231766506837,0.262178108404478
